conflict_id,topic,tracks_involved,position_a,position_b,evidence_a,evidence_b,adjudication,ppbf_action,status
CT-11,AAP/CPS opposition to youth boxing,"B3, A3, A4",The AAP and Canadian Paediatric Society jointly OPPOSE boxing participation by children and adolescents,PPBF operates a youth boxing program,PMID 21873697 / 23277756,PPBF program reality,MATERIAL GOVERNANCE CONFLICT — the most consequential one in this program. It cannot be resolved by research and must not be buried.,"ESCALATE TO BOARD AND MEDICAL ADVISOR. PPBF must adopt a written, board-approved position that acknowledges the AAP/CPS statement by name, states PPBF's risk-mitigation posture (non-contact entry lane, contact gating, exposure minimisation, medical oversight), and is disclosed to parents at intake. Do not proceed with youth contact expansion until this exists.",ESCALATED — HUMAN DECISION REQUIRED
CT-12,Coach:athlete supervision ratio,"B1, B2, B3, B5, B6",An operational ratio is needed for capacity planning and dominates program economics,No verified coach:athlete ratio exists for boxing or any combat sport in the searched literature,"B5: supervision ratio swings annual surplus by ~$42,930 at a 100-athlete roster","B1-047, B3-058, B6-150 all INSUFFICIENT EVIDENCE","NO EVIDENCE EXISTS. The only numeric anchors located are PA child care licensure (1:12 young school-age, 1:15 older school-age, max group 24/30, 55 Pa. Code 3270.51) which is NOT a sport standard and NOT a boxing standard.","PPBF sets supervision ratios as a written SAFETY POLICY decision owned by the Head Coach and board, informed by insurer requirements and USA Boxing sanctioning terms — not by this research. Every ratio in the capacity and finance models is a labelled parameter, never a recommendation. Risk-tiered by activity (open sparring tightest).","RESOLVED AS POLICY DECISION, NOT RESEARCH OUTPUT"
CT-13,Attendance source of truth,"B4, B6",pilot.attendance records athlete-day participation,pilot.scheduler_attendance records class-level participation,Both tables exist in the live schema,No documented precedence between them,"SCHEMA DEFECT, NOT A RESEARCH CONFLICT. Every funder-facing and board-facing participation figure is currently at double-count risk.","Declare ONE authoritative attendance source in writing before any KPI ships. Recommendation: pilot.attendance as the athlete-day system of record, scheduler_attendance as the class-session detail feeding it, with a documented reconciliation view. Blocking dependency for the entire KPI layer.",ESCALATED — BLOCKING SCHEMA DECISION
CT-14,Medical determination vs coaching contact permission,"B6, A5, B3",pilot.shadow_medical_administrative_status is the only home for restriction state,A clinician's medical determination and a coach's contact permission are different decisions with different owners,Live schema,Authority model requires distinct decision owners,"CONFLATION DEFECT. Storing both in one field means the system cannot represent 'medically cleared but not yet coach-approved for contact', which is the normal state for a returning or novice boxer.","Split into two entities with separate owners, timestamps and audit trails: medical_clearance_status (owner: qualified medical professional, SHADOW OBSERVE-ONLY) and contact_authorisation (owner: Head Coach, SHADOW OBSERVE-ONLY). Neither may be computed.",RESOLVED — SCHEMA CHANGE PROPOSED
CT-15,Emergency contact duplication,"B6, B3",pilot.athletes.emergency_contact holds a contact,pilot.emergency_contacts is a separate table,Live schema,Live schema,TWO SOURCES OF TRUTH FOR A SAFETY-CRITICAL FIELD. In an emergency the wrong one may be read.,"Consolidate to pilot.emergency_contacts; deprecate the column with a migration and a read-path audit. Safety-critical, so this ranks above feature work.",ESCALATED — BLOCKING SCHEMA DECISION
CT-16,Instrumented head-impact sensors vs human video coding,"A5, A8",Instrumented mouthguards/patches give objective head-impact exposure,"Sensor data quality in boxing is poor: criteria met in only 53% (mouthguard), 20% (skin patch), 26% (headgear patch) of 442 sparring events; sensitivity against 5168 video-identified events was 35%/86%/7%",Sensor vendor and general HIE literature,A5 and A8 both verified this independently,RESOLVED. Human video coding currently outperforms wearable sensors for counting head contacts in boxing. Sensors are not a shortcut.,"PPBF uses COUNTED PROXIES (sparring rounds by intensity category, coach-observed impacts) with their validity limits stated. Do not purchase head-impact sensors as a measurement solution. Inter-rater reliability on the video count is the binding constraint to invest in.",RESOLVED
CT-17,Revenue diversification,B5,Diversification improves nonprofit financial stability,Concentration has rewards; grant dependence may be the real driver; diversification carries execution cost,Meta-analytic and sector literature,DOI 10.1080/19420676.2011.614630 and related,"GENUINELY UNRESOLVED in the nonprofit finance literature, and all of it transfers from non-boxing (largely German Verein-form) contexts.","Do not set a diversification target as a KPI. Track revenue concentration descriptively alongside the IRS public support test requirement, which is a hard compliance constraint rather than a strategy preference.",OPEN — TRACK DESCRIPTIVELY
CT-18,Cost per participant definition,"B5, B4",A single cost-per-athlete figure is wanted for board and funder reporting,There is no single correct definition — denominator and cost allocation choices change it substantially,B5 model,B4 KPI discipline,RESOLVED AS A DEFINITIONAL REQUIREMENT. Any single figure without its denominator is a vanity metric.,"PPBF must choose and WRITE DOWN one denominator (recommend: unique athletes with >=1 attended session in the period) and one cost-allocation rule, and display both with every figure. Enforced by the dashboard honesty spec.",RESOLVED AS DEFINITIONAL REQUIREMENT
CT-19,Wrestling-derived skin infection thresholds,B3,NFHS/NCAA exclusion thresholds (72h topical antifungal tinea; 120h oral antiviral herpes gladiatorum; 72h post-I&D MRSA) are the operative standard,"These are wrestling-derived, where skin-to-skin exposure is far higher than boxing",NFHS/NCAA rules and derm literature,B3 transfer caveat,TRANSFER IS CONSERVATIVE AND ACCEPTABLE. Applying a stricter-than-necessary exclusion standard errs toward safety; the reverse would not.,"Adopt the wrestling-derived thresholds explicitly LABELLED as transferred, and route every exclusion decision to a qualified health professional rather than a coach or the app.",RESOLVED — CONSERVATIVE TRANSFER ACCEPTED
CT-20,Jurisdictional divergence on minimum contact age,"B1, A3, A6",England Boxing prohibits sparring under 10,USA Boxing registers competitors from age 8 with Prep sub-divisions,England Boxing rules,USA Boxing rulebook,NOT A CONFLICT TO RESOLVE — A PARAMETERISATION REQUIREMENT. Both are correct in their jurisdictions.,All contact/sparring age logic must be parameterised by sanctioning body and jurisdiction as dated reference data with a retrieval date and a human re-verification cadence. Never hardcode an age.,RESOLVED AS PARAMETERISATION REQUIREMENT
CT-21,LTAD as a development framework,"A3, A2",LTAD is the dominant youth athlete development framework and is widely adopted,"LTAD is one-dimensional, lacks empirical basis, and rests on questionable assumptions; the strongest participation-pattern evidence inverts the intuitive early-specialisation pathway",Widespread governing-body adoption,PMID 21259156 and participation-pattern evidence,CONTESTED. Adoption is not evidence. The diversification-over-early-specialisation direction has better support than the staged-model specifics.,"PPBF may use stage LANGUAGE for communication but must not implement LTAD stage boundaries as gating logic or as computed readiness. Progression gates are competency- and safety-based, human-approved.","RESOLVED — LANGUAGE YES, LOGIC NO"
CT-22,Punch-type force rank order,A2,"Rear hook produces highest force (2624+/-581 N, senior elite amateurs)","Cross produces highest force (1475.42 N, dual force plates plus boxing manikin)",Vertically mounted force plate study,Dual force plate study,METHOD-DEPENDENT AND NOT RESOLVABLE from current data. Measurement apparatus differs so fundamentally that the values are not comparable.,No PPBF material may rank punches by force. No app feature may score or compare punch power across athletes or punch types. Consumer punch trackers showed no strong correlation with criterion measures and must not be used for assessment.,RESOLVED — NO FORCE RANKING PERMITTED
CT-23,Session-RPE as PPBF's internal load foundation,"A5, B6",Session-RPE is the practical internal-load measure and is well validated in sport generally,"A boxing-specific session-RPE study now exists: 8 boxers, matched-pairs randomized, three standardized intensities. Session-RPE at 10 min did not differ significantly from 30 min at easy (1.3±1.0 vs 1.7±1.0 AU), moderate (2.7±1.6 vs 2.5±0.9 AU) or hard (5.7±1.0 vs 5.8±1.9 AU).",General sport validation literature,"PMID 24570606 (Penn State full text, extracted and verified 2026-08-08)","REVISED 2026-08-08. The original framing — that PPBF's internal-load foundation rested entirely on transfer from karate and taekwondo — is no longer accurate. One boxing-specific study establishes that the session-RPE measurement window is forgiving in boxers: 10 min and 30 min post-session give statistically indistinguishable values across easy, moderate and hard sessions. This does NOT validate session-RPE against internal load in boxing generally (n=8, one squad, adult male, no youth or adaptive participants).","Adopt session-RPE with a 10-30 minute collection window; the app must not penalize or down-weight entries anywhere in that window. PPBF's validation study is still warranted but is re-scoped: no longer 'establish session-RPE in boxing from scratch' but 'extend an existing boxing finding to youth, female and adaptive athletes, and test against an internal-load criterion'.",REVISED — BOXING ANCHOR NOW EXISTS; VALIDATION RE-SCOPED
CT-24,Individual injury prediction,"A5, B6, A8",Capability modules 022 (Injury Risk Engine) and related propose injury risk scoring,FMS composite has poor predictive value across 24 appraised studies; Y-Balance similar; no validated individual injury prediction exists,Repo capability specs,PMID 28360142; PMID 34631241,RESOLVED AGAINST. No validated individual injury prediction exists in this domain.,"Module 022 must be re-scoped from prediction to descriptive exposure monitoring, or moved to do-not-build-yet. SHADOW must not output an injury risk score. This is a prohibited automated decision.",RESOLVED — PROHIBITED AUTOMATED DECISION
CT-25,Hand wrapping as injury prevention,A6,A Hand Clinics review asserts clear evidence that hand protection reduces hand injury,No controlled trial of hand-wrap injury prevention in boxing was located,A6-016 (narrative review assertion),"A6-015 (structured search, negative finding)","CONTESTED. Wrapping rests on mechanical reasoning, governing-body MANDATE and tradition — not trial evidence. The mandate alone is sufficient reason to wrap correctly; the evidence claim is not.","PPBF and SHADOW must NEVER claim wrapping prevents injury. Justify the SOP on rule compliance and mechanical reasoning. The hand is nonetheless the most-injured location (302 injuries/1000 competition hours, GB squad), so the SOP matters regardless of the claim.",RESOLVED AS PROHIBITED CLAIM
CT-26,Wrap dimensions across jurisdictions,A6,A single correct wrap length/spec can be taught,Four incompatible amateur standards (USA Boxing 8.2-14.76 ft; England Boxing 2.5-4.5 m; World Boxing 3.5-4.5 m x2; Boxing Canada max 2.5 m) and two incompatible US professional standards (Michigan 10-12 yd; Indiana 20 yd gauze),A6 primary rulebook fetches,A6 primary rulebook fetches,"NO UNIVERSAL STANDARD EXISTS. This is dated reference data per sanctioning body, not a teachable constant.",The app must render wrap specification from a jurisdiction/division reference table with retrieval dates and a human re-verification cadence. Never hardcode a length. The SOP teaches METHOD; the spec comes from the rulebook in force.,RESOLVED AS PARAMETERISATION REQUIREMENT
CT-27,Wrap approval authority,"A6, B6",The app could checklist and confirm a wrap,Every jurisdiction examined assigns wrap approval to a designated HUMAN official who signs or seals the wrap,SHADOW capability ambition,"A6-077, EQ-031 across USA Boxing, England Boxing, World Boxing, WBC Amateur, Michigan, Indiana",RULE-DERIVED HARD BOUNDARY. Not a design preference.,"SHADOW may RENDER the checklist and record that a named official signed. SHADOW must NEVER certify, approve, or imply a wrap is safe or compliant. Added as a PROHIBITED row in the authority matrix.",RESOLVED — PROHIBITED AUTOMATED DECISION
CT-28,Gauze-and-tape for youth,"A6, A3",Gauze-and-tape wrapping is standard professional practice,World Boxing MANDATES the simpler Velcro bandage for U17/U19 and restricts gauze-and-tape to Elite,Professional convention,A6-031 (World Boxing r13.2.1),RESOLVED IN FAVOUR OF THE RESTRICTION. This is the strongest youth-safety precedent located in the wrapping domain.,"PROPOSED PPBF POLICY P1: no gauze-and-tape under 19, mirroring World Boxing. Labelled PROPOSED PPBF PARAMETER pending coach-lead and board sign-off.",RESOLVED — PROPOSED POLICY
CT-29,Headgear mandate by division,"A6, A3",USA Boxing requires headgear for ALL divisions,England Boxing and World Boxing exempt senior/elite MEN,A6-021,"A6-028, EQ-018",BOTH CORRECT IN THEIR JURISDICTIONS. Never present either as universal. Note this is a separate question from whether headguards prevent concussion (CT-08).,"Headgear requirement is dated reference data keyed to sanctioning body, division, age and sex. The app renders the rule in force; it does not reason about it.",RESOLVED AS PARAMETERISATION REQUIREMENT
CT-30,Corner cut agents,A6,A standard corner kit can be specified,World Boxing permits only adrenaline 1/1000 and non-petroleum jelly; USA Boxing permits a much longer named list; England Boxing restricts application to an accredited individual,"A6-083, EQ-024","A6-083, EQ-024",GENUINE JURISDICTIONAL CONFLICT with safety and eligibility consequences.,"The corner card must be GENERATED PER SANCTIONING BODY from reference data, never from a generic kit list. Application of any agent remains with the accredited human. SHADOW renders, never advises.",RESOLVED AS PARAMETERISATION REQUIREMENT
CT-31,Supervision ratio: which jurisdiction's number,"B2, B1",PA child care licensure gives 1:12 (young school-age) and 1:15 (older school-age),"UK safeguarding guidance gives tighter ratios: 1:8 ages 9-12, 1:10 ages 13-18 (NSPCC)",55 Pa. Code 3270.51 — not a sport standard,"NSPCC Sport, The FA Guidance 5.5 v1.3",NO BOXING RATIO EXISTS IN EITHER SYSTEM. The applicable law is US; the clearest numeric guidance is UK. NSPCC itself states sport-specific NGB guidance should take precedence and usually requires MORE adults.,"B2 adopts the TIGHTER (UK) value as the proposed floor, with the PA licensure figures recorded as the legal reference and the two-adult minimum (converging across 55 Pa. Code 3270.54, NSPCC Sport and The FA) as the hard floor. All labelled PROPOSED, owned by Head Coach and safeguarding lead. Supersedes any single-jurisdiction anchor.",RESOLVED — TIGHTER VALUE ADOPTED AS PROPOSED FLOOR
CT-32,Queueing model choice for pad work,"B2, A8",A waiting-time estimate can be shown to coaches,Model choice spans two orders of magnitude for the same 25-athlete class: deterministic rotation ~1.2 min; finite-source ~64 min at 1 pad coach; M/M/c unstable below 4 pad coaches,"Capacity model output, 216 scenarios","Capacity model output, 216 scenarios",RESOLVED AS A DISPLAY RULE. The spread between defensible models IS the finding; a single number would be false precision.,"SHADOW must never emit a single waiting-time number. Present the range with the model assumption named, or present nothing. Feeds the dashboard honesty spec.","RESOLVED — RANGE ONLY, NEVER A POINT ESTIMATE"
CT-33,Pad-contact minutes as a learning proxy,"B2, A1, A2",The throughput model optimises coach contact minutes as the scarce resource,"Motor-learning evidence cautions against equating contact minutes with learning: feedback-frequency effects are a meta-analytic null, and the contextual-interference benefit appeared on delayed transfer at 40 days, not acute performance",B2 capacity model,McKay 2022 feedback-frequency null; Makaruk 2024 (PMID 38198493),"BOTH VALID — DIFFERENT OBJECTIVES. Contact minutes are a SUPERVISION and OPPORTUNITY measure, not a learning measure.","Capacity planning may optimise contact minutes. The app must NOT display contact minutes as a learning or progress metric, and SHADOW must not recommend more pad time as a development intervention on throughput grounds. Added to the dashboard honesty spec.",RESOLVED BY SEPARATING OBJECTIVES
CT-34,Post-knockout rest periods as a capacity constraint,"B2, A3, A5",Sparring rosters can be planned from availability,USA Boxing post-knockout rest periods (30/90/365 days) apply to SPARRING as well as competition,Capacity planning assumption,USA Boxing rulebook,"RESOLVED. These are hard eligibility constraints on the sparring roster, not soft planning inputs.","Modelled as a HUMAN-ENTERED administrative flag only. SHADOW may DISPLAY the flag and its expiry date; it must never compute, infer, or clear a rest period. Medical and eligibility authority remains human.",RESOLVED — HUMAN-ENTERED FLAG ONLY
CT-35,Post-activation potentiation as a prescribable protocol,"PS (Penn State extraction), A5",PAPE protocols improve subsequent power output and could be prescribed as a standard pre-session potentiation block,"In boxers the effects are small and individual: worthwhile changes only, RFD gains limited to the cross, and 6 of the boxers responded best to one protocol while others did not. In a separate study the SAME back-squat conditioning activity significantly INCREASED peak torque in one measure and significantly DECREASED peak torque and average power in another.","PS-007, PS-008, PS-021, PS-028","PS-009, PS-031, PS-032, PS-033","RESOLVED AGAINST PRESCRIPTION. PAPE is real but response is individual and site-specific — the same conditioning activity potentiates one capacity while impairing another in the same athletes. A single prescribed protocol would help some athletes and degrade others, and nothing in this evidence identifies who is who in advance.","PAPE may be offered as a coach-selectable warm-up option with the individual-response caveat displayed. SHADOW must NOT recommend a potentiation protocol to a named athlete, and must not infer responder status from performance data. Add to the do-not-build-yet list.",RESOLVED — PROHIBITED AUTOMATED RECOMMENDATION
CT-36,Warm-up decay across an inactive gap,"PS, A5, F (session logic)",A warm-up completed before a session carries through the session,"In elite boxers a standardized warm-up produced a 4.8% increase in countermovement jump height, and a 25-minute inactive gap between warm-up and boxing activity produced decreases in CMJ height and upper-body power.",Common practice assumption,"PS-023, PS-024","RESOLVED. Warm-up benefit decays measurably across an inactive gap. This is one of the few findings in the batch that is boxing-specific, directional and actionable without further validation.","Add a universal stop-rule / script-block rule: where more than ~20 minutes elapses between warm-up and working effort — waiting for a ring, bout delays, late class start — re-warm before contact or maximal work. Implement as coach guidance, bypassable with a note like every other flag.",RESOLVED — ACTIONABLE COACHING RULE
