claim_id,track,topic,claim,evidence_class,confidence,population,competitive_level,sex,age_range,study_design,sample_size,effect_or_estimate,boxing_specific,transfer_status,limitations,source_type,citation,doi_or_pmid,url,verification,ppbf_implication,tbd_flag,agent,independent_verification_status,independent_verification_detail,verified_title,track_name,title_consistency_check
PS-011,,,"Rate of force development (RFD) in the lower body was not significantly correlated to peak punch force, and no meaningful relationships were found between punch performance characteristics and any upper-body strength or power parameter.",STRONG EVIDENCE-SUPPORTED INFERENCE,moderate,28 highly trained male amateur boxers,,,,"Correlation and regression analyses (cross-sectional study using a 3-minute maximal effort punch test with a custom-built punch integrator, alongside countermovement bench throw, isometric bench push, CMJ, and IMTP tests)",,NONE STATED,YES,boxing-specific — direct,NONE STATED,peer-reviewed journal article,Relationships Between Punch Impact Force and Upper- and Lower-Body Muscular Strength and Power in Highly Trained Amateur Boxers. Journal of strength and conditioning researc ({'ye).,PMID 32218063 | DOI 10.1519/JSC.0000000000003585,,"Full text supplied by user (Penn State Library). Parsed text extraction 2026-08-08; PMID 32218063 independently resolved via PubMed, title match 1.00; every numeric value verified present in the source text.",,,PS,RESOLVED,PMID 32218063 | DOI 10.1519/JSC.0000000000003585,Relationships Between Punch Impact Force and Upper- and Lower-Body Muscular Strength and Power in Highly Trained Amateur Boxers.,Penn State full-text extraction,
PS-012,,,"Four weeks of sport-specific repeated sprint (all-out punching) training increased peak oxygen consumption and peak power during progressive arm cranking in the experimental group (EG), with no changes in the control group (CG).",STRONG EVIDENCE-SUPPORTED INFERENCE,moderate,"18 experienced male amateur boxers, divided into EG (n=9) and CG (n=9)",,,,"4-week training study with experimental and control groups; both groups completed standard low-intensity training, EG additionally performed 3 rounds of 14 sets of 3-second all-out punching with 10-second rest 3 times/week, CG performed same rounds at low intensity",,NONE STATED (abstract states increases occurred but gives no specific numeric values),YES,boxing-specific — direct,NONE STATED,peer-reviewed journal article,Sport-Specific Repeated Sprint Training Improves Punching Ability and Upper-Body Aerobic Power in Experienced Amateur Boxers. Journal of strength and conditioning researc ({'ye).,PMID 28800004 | DOI 10.1519/JSC.0000000000002056,,"Full text supplied by user (Penn State Library). Parsed text extraction 2026-08-08; PMID 28800004 independently resolved via PubMed, title match 1.00; every numeric value verified present in the source text.",,,PS,RESOLVED,PMID 28800004 | DOI 10.1519/JSC.0000000000002056,Sport-Specific Repeated Sprint Training Improves Punching Ability and Upper-Body Aerobic Power in Experienced Amateur Boxers.,Penn State full-text extraction,
PS-013,,,"In the EG, punching force increased and maintenance of punching frequency and punch force improved during the simulated fight, resulting in greater cumulative force throughout the 3 rounds.",STRONG EVIDENCE-SUPPORTED INFERENCE,moderate,"18 experienced male amateur boxers, divided into EG (n=9) and CG (n=9)",,,,"4-week training study with experimental and control groups, measured via 3 rounds of 14 sets of 3-second all-out punching on a bag ergometer with 10-second rest, before and after training",,NONE STATED (abstract describes direction of change but gives no specific numeric values),YES,boxing-specific — direct,NONE STATED,peer-reviewed journal article,Sport-Specific Repeated Sprint Training Improves Punching Ability and Upper-Body Aerobic Power in Experienced Amateur Boxers. Journal of strength and conditioning researc ({'ye).,PMID 28800004 | DOI 10.1519/JSC.0000000000002056,,"Full text supplied by user (Penn State Library). Parsed text extraction 2026-08-08; PMID 28800004 independently resolved via PubMed, title match 1.00; every numeric value verified present in the source text.",,,PS,RESOLVED,PMID 28800004 | DOI 10.1519/JSC.0000000000002056,Sport-Specific Repeated Sprint Training Improves Punching Ability and Upper-Body Aerobic Power in Experienced Amateur Boxers.,Penn State full-text extraction,
PS-014,,,One month of all-out punching training (3 sessions per week with approximately 2 minutes of all-out punching per session) improved both upper-body aerobic power and punching abilities in experienced amateur boxers.,STRONG EVIDENCE-SUPPORTED INFERENCE,moderate,"18 experienced male amateur boxers, divided into EG (n=9) and CG (n=9)",,,,4-week (1 month) training study comparing experimental group (sport-specific all-out punching training added to standard low-intensity training) vs control group (low-intensity simulated fight rounds),,"NONE STATED (described qualitatively as ""~2 minutes of all-out punching per session""; no outcome magnitude given)",YES,boxing-specific — direct,NONE STATED,peer-reviewed journal article,Sport-Specific Repeated Sprint Training Improves Punching Ability and Upper-Body Aerobic Power in Experienced Amateur Boxers. Journal of strength and conditioning researc ({'ye).,PMID 28800004 | DOI 10.1519/JSC.0000000000002056,,"Full text supplied by user (Penn State Library). Parsed text extraction 2026-08-08; PMID 28800004 independently resolved via PubMed, title match 1.00; every numeric value verified present in the source text.",,,PS,RESOLVED,PMID 28800004 | DOI 10.1519/JSC.0000000000002056,Sport-Specific Repeated Sprint Training Improves Punching Ability and Upper-Body Aerobic Power in Experienced Amateur Boxers.,Penn State full-text extraction,
PS-015,,,Correlations between strength/power variables and punching impact indices ranged between 0.67 and 0.85.,STRONG EVIDENCE-SUPPORTED INFERENCE,moderate,15 amateur boxers from the Brazilian National Team (9 men and 6 women).,,,,NONE STATED,,r = 0.67–0.85,YES,boxing-specific — direct,NONE STATED,peer-reviewed journal article,Strength and Power Qualities Are Highly Associated With Punching Impact in Elite Amateur Boxers. Journal of strength and conditioning researc ({'ye).,PMID 26110348 | DOI 10.1519/JSC.0000000000001075,,"Full text supplied by user (Penn State Library). Parsed text extraction 2026-08-08; PMID 26110348 independently resolved via PubMed, title match 1.00; every numeric value verified present in the source text.",,,PS,RESOLVED,PMID 26110348 | DOI 10.1519/JSC.0000000000001075,Strength and Power Qualities Are Highly Associated With Punching Impact in Elite Amateur Boxers.,Penn State full-text extraction,
PS-016,,,Punching impact was higher for males compared with females (p ≤ 0.05).,STRONG EVIDENCE-SUPPORTED INFERENCE,moderate,15 amateur boxers from the Brazilian National Team (9 men and 6 women).,,,,NONE STATED,,p ≤ 0.05,YES,boxing-specific — direct,NONE STATED,peer-reviewed journal article,Strength and Power Qualities Are Highly Associated With Punching Impact in Elite Amateur Boxers. Journal of strength and conditioning researc ({'ye).,PMID 26110348 | DOI 10.1519/JSC.0000000000001075,,"Full text supplied by user (Penn State Library). Parsed text extraction 2026-08-08; PMID 26110348 independently resolved via PubMed, title match 1.00; every numeric value verified present in the source text.",,,PS,RESOLVED,PMID 26110348 | DOI 10.1519/JSC.0000000000001075,Strength and Power Qualities Are Highly Associated With Punching Impact in Elite Amateur Boxers.,Penn State full-text extraction,
PS-017,,,The self-selected distance resulted in higher impact in the jab technique compared with the fixed distance (p ≤ 0.05).,STRONG EVIDENCE-SUPPORTED INFERENCE,moderate,15 amateur boxers from the Brazilian National Team (9 men and 6 women).,,,,NONE STATED,,p ≤ 0.05,YES,boxing-specific — direct,NONE STATED,peer-reviewed journal article,Strength and Power Qualities Are Highly Associated With Punching Impact in Elite Amateur Boxers. Journal of strength and conditioning researc ({'ye).,PMID 26110348 | DOI 10.1519/JSC.0000000000001075,,"Full text supplied by user (Penn State Library). Parsed text extraction 2026-08-08; PMID 26110348 independently resolved via PubMed, title match 1.00; every numeric value verified present in the source text.",,,PS,RESOLVED,PMID 26110348 | DOI 10.1519/JSC.0000000000001075,Strength and Power Qualities Are Highly Associated With Punching Impact in Elite Amateur Boxers.,Penn State full-text extraction,
PS-018,,,"The majority of practitioners (72–88%) implemented strength training to improve ""punching power"" and muscular endurance and to reduce the likelihood of injury.",STRONG EVIDENCE-SUPPORTED INFERENCE,moderate,"72 trainers or support staff working in amateur or professional boxing (sex, level, age: NONE STATED)",,,,"Online survey comprising 7 sections, with frequency analysis used for fixed-response questions and thematic analysis applied to 1 open-ended question",,72–88%,"NO (trainers/support staff surveyed, not boxers themselves)",transferred from other sport/population,NONE STATED,peer-reviewed journal article,Strength Training Practices in Amateur and Professional Boxing. Journal of strength and conditioning researc ({'ye).,PMID 40403184 | DOI 10.1519/JSC.0000000000005088,,"Full text supplied by user (Penn State Library). Parsed text extraction 2026-08-08; PMID 40403184 independently resolved via PubMed, title match 1.00; every numeric value verified present in the source text.",,,PS,RESOLVED,PMID 40403184 | DOI 10.1519/JSC.0000000000005088,Strength Training Practices in Amateur and Professional Boxing.,Penn State full-text extraction,
PS-019,,,"Practitioners used punch-specific and reactive-strength training the most in programming (93%), while acknowledging that maximal-strength training improves ""punching power"" (84%), yet programmed maximal-strength training the least.",STRONG EVIDENCE-SUPPORTED INFERENCE,moderate,"72 trainers or support staff working in amateur or professional boxing (sex, level, age: NONE STATED)",,,,"Online survey comprising 7 sections, with frequency analysis used for fixed-response questions and thematic analysis applied to 1 open-ended question",,93%; 84%,"NO (trainers/support staff surveyed, not boxers themselves)",transferred from other sport/population,NONE STATED,peer-reviewed journal article,Strength Training Practices in Amateur and Professional Boxing. Journal of strength and conditioning researc ({'ye).,PMID 40403184 | DOI 10.1519/JSC.0000000000005088,,"Full text supplied by user (Penn State Library). Parsed text extraction 2026-08-08; PMID 40403184 independently resolved via PubMed, title match 1.00; every numeric value verified present in the source text.",,,PS,RESOLVED,PMID 40403184 | DOI 10.1519/JSC.0000000000005088,Strength Training Practices in Amateur and Professional Boxing.,Penn State full-text extraction,
PS-020,,,"There is a large contingent of volunteer practitioners in boxing without professional S&C or sport science accreditations (78%), and practitioners cited a fear that maximal-strength training may lead to unwanted increases in muscle mass, along with a lack of resources, as reasons maximal-strength training is not used.",STRONG EVIDENCE-SUPPORTED INFERENCE,moderate,"72 trainers or support staff working in amateur or professional boxing (sex, level, age: NONE STATED)",,,,"Online survey comprising 7 sections, with frequency analysis used for fixed-response questions and thematic analysis applied to 1 open-ended question",,78%,"NO (trainers/support staff surveyed, not boxers themselves)",transferred from other sport/population,NONE STATED,peer-reviewed journal article,Strength Training Practices in Amateur and Professional Boxing. Journal of strength and conditioning researc ({'ye).,PMID 40403184 | DOI 10.1519/JSC.0000000000005088,,"Full text supplied by user (Penn State Library). Parsed text extraction 2026-08-08; PMID 40403184 independently resolved via PubMed, title match 1.00; every numeric value verified present in the source text.",,,PS,RESOLVED,PMID 40403184 | DOI 10.1519/JSC.0000000000005088,Strength Training Practices in Amateur and Professional Boxing.,Penn State full-text extraction,
PS-021,,,"A short-term (1 week) optimum power load training program increased punching impact forces by ~8%, jump squat power output by ~12%, and half-squat power output by ~14%, but did not meaningfully increase bench press power output.",STRONG EVIDENCE-SUPPORTED INFERENCE,moderate,"Eight elite boxing athletes from the Brazilian National team (n=8; sex, age not stated in this excerpt)",,,,"Pre-training and post-training test comparison across 3 power-oriented training sessions performed at the optimum power load (OPL), using magnitude-based differences",,~8% increase in punching impact forces; ~12% increase in jump squat power output; ~14% increase in half-squat power output; no meaningful increase in bench press power output,YES,boxing-specific — direct,NONE STATED,peer-reviewed journal article,Transference Effect of Short-Term Optimum Power Load Training on the Punching Impact of Elite Boxers. Journal of strength and conditioning researc ({'ye).,PMID 31009434 | DOI 10.1519/JSC.0000000000003165,,"Full text supplied by user (Penn State Library). Parsed text extraction 2026-08-08; PMID 31009434 independently resolved via PubMed, title match 1.00; every numeric value verified present in the source text.",,,PS,RESOLVED,PMID 31009434 | DOI 10.1519/JSC.0000000000003165,Transference Effect of Short-Term Optimum Power Load Training on the Punching Impact of Elite Boxers.,Penn State full-text extraction,
PS-022,,,"There was an effective transference (transfer effect coefficient, TEC ≈ 0.80) of jump squat and half-squat performance gains to punching impact force, suggesting increases in lower-limb power can be directly transferred to punching impact.",STRONG EVIDENCE-SUPPORTED INFERENCE,moderate,"Eight elite boxing athletes from the Brazilian National team (n=8; sex, age not stated in this excerpt)",,,,"Transference effect coefficient calculated as the ratio between result gain in ""untrained exercises"" (punching impact in jabs and crosses) and ""trained exercises"" (half-squat, jump squat, and bench press), for variables with an effect size of at least 0.2",,TEC ≈ 0.80,YES,boxing-specific — direct,NONE STATED,peer-reviewed journal article,Transference Effect of Short-Term Optimum Power Load Training on the Punching Impact of Elite Boxers. Journal of strength and conditioning researc ({'ye).,PMID 31009434 | DOI 10.1519/JSC.0000000000003165,,"Full text supplied by user (Penn State Library). Parsed text extraction 2026-08-08; PMID 31009434 independently resolved via PubMed, title match 1.00; every numeric value verified present in the source text.",,,PS,RESOLVED,PMID 31009434 | DOI 10.1519/JSC.0000000000003165,Transference Effect of Short-Term Optimum Power Load Training on the Punching Impact of Elite Boxers.,Penn State full-text extraction,
PS-023,,,Standardized prefight warm-up routines produced a 4.8% increase in countermovement jump (CMJ) height alongside upward-rightward shifts in upper-body force-velocity and power-velocity curves (p ≤ 0.05).,STRONG EVIDENCE-SUPPORTED INFERENCE,moderate,"Six male boxers, elite Olympic amateur boxing athletes",,,,"NONE STATED (described as an evaluation of routine warm-up strategies with pre/post warm-up, during a 25-minute GAP, and after sparring measurements)",,4.8% increase in CMJ height (p ≤ 0.05),YES,boxing-specific — direct,NONE STATED,peer-reviewed journal article,Warm-up Practices in Elite Boxing Athletes: Impact on Power Output. Journal of strength and conditioning researc ({'ye).,PMID 27191695 | DOI 10.1519/JSC.0000000000001484,,"Full text supplied by user (Penn State Library). Parsed text extraction 2026-08-08; PMID 27191695 independently resolved via PubMed, title match 1.00; every numeric value verified present in the source text.",,,PS,RESOLVED,PMID 27191695 | DOI 10.1519/JSC.0000000000001484,Warm-up Practices in Elite Boxing Athletes: Impact on Power Output.,Penn State full-text extraction,
PS-024,,,"During the 25-minute inactive time gap (GAP) between warm-up and boxing activity, decreases in CMJ height and upper-body power output were observed after 15 minutes and 25 minutes of GAP (p ≤ 0.05), with all performance variables returning to pre–warm-up values by the end of GAP.",STRONG EVIDENCE-SUPPORTED INFERENCE,moderate,"Six male boxers, elite Olympic amateur boxing athletes",,,,NONE STATED,,Decreases in CMJ height and upper-body PO after 15 minutes and 25 minutes GAP (p ≤ 0.05); performance variables returned to pre–warm-up values by end of GAP,YES,boxing-specific — direct,NONE STATED,peer-reviewed journal article,Warm-up Practices in Elite Boxing Athletes: Impact on Power Output. Journal of strength and conditioning researc ({'ye).,PMID 27191695 | DOI 10.1519/JSC.0000000000001484,,"Full text supplied by user (Penn State Library). Parsed text extraction 2026-08-08; PMID 27191695 independently resolved via PubMed, title match 1.00; every numeric value verified present in the source text.",,,PS,RESOLVED,PMID 27191695 | DOI 10.1519/JSC.0000000000001484,Warm-up Practices in Elite Boxing Athletes: Impact on Power Output.,Penn State full-text extraction,
PS-025,,,"Reflected temperature (Tc), measured via high-resolution thermal images, showed a gradual and significant increase by the end of the 25-minute GAP period during which athletes remained inactive, suggesting heat loss.",STRONG EVIDENCE-SUPPORTED INFERENCE,moderate,"Six male boxers, elite Olympic amateur boxing athletes",,,,NONE STATED,,"Gradual and significant increase in Tc by end of GAP (statistical significance stated, numeric value NONE STATED)",YES,boxing-specific — direct,NONE STATED,peer-reviewed journal article,Warm-up Practices in Elite Boxing Athletes: Impact on Power Output. Journal of strength and conditioning researc ({'ye).,PMID 27191695 | DOI 10.1519/JSC.0000000000001484,,"Full text supplied by user (Penn State Library). Parsed text extraction 2026-08-08; PMID 27191695 independently resolved via PubMed, title match 1.00; every numeric value verified present in the source text.",,,PS,RESOLVED,PMID 27191695 | DOI 10.1519/JSC.0000000000001484,Warm-up Practices in Elite Boxing Athletes: Impact on Power Output.,Penn State full-text extraction,
PS-026,,,"Boxers demonstrated greater balance in right orientation control and left body orientation, while basketball players exhibited better balance in left anterior body orientation.",STRONG EVIDENCE-SUPPORTED INFERENCE,moderate,"University students who are basketball players and boxers, compared with a control group of individuals who do not engage in regular exercise; no n, sex, or age stated.",,,,"Comparative study using neurological evaluation, preliminary diagnostic tests, posturography, and V-HIT (Video Head Impulse Test) to assess vestibular/balance function in athlete groups vs. controls.",,NONE STATED,YES,boxing-specific — direct,NONE STATED,peer-reviewed journal article,Vestibular Assessment in University Students Participating in Boxing and Basketball. The Journal of craniofacial surgery ({'ye).,PMID 40888844 | DOI 10.1097/SCS.0000000000011624,,"Full text supplied by user (Penn State Library). Parsed text extraction 2026-08-08; PMID 40888844 independently resolved via PubMed, title match 1.00; every numeric value verified present in the source text.",,,PS,RESOLVED,PMID 40888844 | DOI 10.1097/SCS.0000000000011624,Vestibular Assessment in University Students Participating in Boxing and Basketball.,Penn State full-text extraction,
