organization_id,item_id,template_id,ordinal,block,drill_id,free_text_drill,duration_minutes,rep_count,contact_level,coach_note,scale_level
{{PPBF_ORG_ID}},wti_09fd782404c42c,wtp_b35f1273aa79bd,1,warmup,drl_dbb0347500e7eb,,8.0,,none,,
{{PPBF_ORG_ID}},wti_9095043ce8557d,wtp_b35f1273aa79bd,2,warmup,drl_f54d4fe102fb09,,4.0,,none,,
{{PPBF_ORG_ID}},wti_f8011edc2fa3d1,wtp_b35f1273aa79bd,3,technical,drl_105923e88c4fff,,6.0,,none,,
{{PPBF_ORG_ID}},wti_77876c0bee587e,wtp_b35f1273aa79bd,4,technical,drl_160ff16df2a668,,10.0,,light_technical,,
{{PPBF_ORG_ID}},wti_08b846372f29e1,wtp_b35f1273aa79bd,5,technical,drl_45d9662ee44c36,,10.0,,light_technical,,
{{PPBF_ORG_ID}},wti_fa74233541c309,wtp_b35f1273aa79bd,6,technical,drl_a8fcfc8f0a4c63,,6.0,,none,,
{{PPBF_ORG_ID}},wti_80871fcbdacf7a,wtp_b35f1273aa79bd,7,cooldown,drl_325b6ba2613eb0,,6.0,,none,,
{{PPBF_ORG_ID}},wti_5f079f078097df,wtp_f35ff87b3529ab,1,warmup,drl_dbb0347500e7eb,,8.0,,none,,
{{PPBF_ORG_ID}},wti_c8e95d28f8255f,wtp_f35ff87b3529ab,2,warmup,drl_0eaa11e875ffef,,5.0,,none,,
{{PPBF_ORG_ID}},wti_7d1d0aa74c96aa,wtp_f35ff87b3529ab,3,technical,drl_087353a71f3b4e,,8.0,,none,,
{{PPBF_ORG_ID}},wti_881aa05c7ef2d6,wtp_f35ff87b3529ab,4,technical,drl_1d6e36f12d7c87,,8.0,,light_technical,,
{{PPBF_ORG_ID}},wti_eab4ba321fe62f,wtp_f35ff87b3529ab,5,technical,drl_e0428b3066b8c2,,10.0,,light_technical,,
{{PPBF_ORG_ID}},wti_92137dc9b59f96,wtp_f35ff87b3529ab,6,technical,drl_c339eeabf109d4,,8.0,,light_technical,,
{{PPBF_ORG_ID}},wti_fed770855af0c4,wtp_f35ff87b3529ab,7,conditioning,drl_ee5abe0d5aa056,,8.0,,none,,
{{PPBF_ORG_ID}},wti_3c5f68695e853a,wtp_f35ff87b3529ab,8,cooldown,drl_786d761c9321c0,,5.0,,none,,
{{PPBF_ORG_ID}},wti_1504c3354fd974,wtp_e3c1f50475379b,1,warmup,drl_dbb0347500e7eb,,8.0,,none,,
{{PPBF_ORG_ID}},wti_a32b9ef6e79e46,wtp_e3c1f50475379b,2,warmup,drl_f54d4fe102fb09,,4.0,,none,,
{{PPBF_ORG_ID}},wti_c9548d5c992431,wtp_e3c1f50475379b,3,technical,drl_3e2e2cb0a54792,,12.0,,light_technical,,
{{PPBF_ORG_ID}},wti_9432a179365001,wtp_e3c1f50475379b,4,technical,drl_3554c55ab8b584,,12.0,,light_technical,,
{{PPBF_ORG_ID}},wti_8f970d10baccee,wtp_e3c1f50475379b,5,technical,drl_4700995bab7b07,,10.0,,light_technical,,
{{PPBF_ORG_ID}},wti_262b242a56243c,wtp_e3c1f50475379b,6,bagwork,drl_b755caac79e37e,,8.0,,light_technical,,
{{PPBF_ORG_ID}},wti_02b6f2088ec533,wtp_e3c1f50475379b,7,cooldown,drl_325b6ba2613eb0,,6.0,,none,,
{{PPBF_ORG_ID}},wti_63901bbb89eb4d,wtp_46173e84b09d7c,1,warmup,drl_dbb0347500e7eb,,8.0,,none,,
{{PPBF_ORG_ID}},wti_faabda6117ba8b,wtp_46173e84b09d7c,2,technical,drl_7e09f9990ea721,,5.0,,none,,
{{PPBF_ORG_ID}},wti_5fdebdd5d33097,wtp_46173e84b09d7c,3,defense,drl_2713ad55cfcbf0,,10.0,,light_technical,,
{{PPBF_ORG_ID}},wti_bfbc65beca8ba1,wtp_46173e84b09d7c,4,defense,drl_badeec66ed769d,,8.0,,light_technical,,
{{PPBF_ORG_ID}},wti_8ae81213d2cec0,wtp_46173e84b09d7c,5,defense,drl_464b8ff7d556f9,,10.0,,light_technical,,
{{PPBF_ORG_ID}},wti_6045605db77dcb,wtp_46173e84b09d7c,6,defense,drl_87d9424cc9f2a3,,8.0,,light_technical,,
{{PPBF_ORG_ID}},wti_75b1b8d35116b1,wtp_46173e84b09d7c,7,cooldown,drl_786d761c9321c0,,6.0,,none,,
{{PPBF_ORG_ID}},wti_077682ea752ce0,wtp_1123d6411a2e60,1,warmup,drl_dbb0347500e7eb,,10.0,,none,,
{{PPBF_ORG_ID}},wti_3e8d42f0a997a9,wtp_1123d6411a2e60,2,craft,drl_39ed71de8c14cd,,6.0,,none,,
{{PPBF_ORG_ID}},wti_acd28b0962db2b,wtp_1123d6411a2e60,3,partner,drl_e1f757f0c3e703,,4.0,,light_technical,,
{{PPBF_ORG_ID}},wti_6d09dc4e3a6237,wtp_1123d6411a2e60,4,partner,drl_cb54d49d71c270,,4.0,,light_technical,,
{{PPBF_ORG_ID}},wti_f8200bc7f5d562,wtp_1123d6411a2e60,5,sparring,drl_31f81811de1b2f,,,,controlled_sparring,Coach sets contact volume in person. This system prescribes none.,
{{PPBF_ORG_ID}},wti_d3db70b0a6051f,wtp_1123d6411a2e60,6,sparring,drl_d305c9e9ba7ddd,,,,controlled_sparring,Coach sets contact volume in person. This system prescribes none.,
{{PPBF_ORG_ID}},wti_f6bbef488f9768,wtp_1123d6411a2e60,7,film,drl_367b662564784e,,8.0,,none,,
{{PPBF_ORG_ID}},wti_dd2f7aab619fe3,wtp_1123d6411a2e60,8,cooldown,drl_325b6ba2613eb0,,6.0,,none,,
{{PPBF_ORG_ID}},wti_78ab339eddd9ba,wtp_f4f4d54c39a219,1,warmup,drl_f54d4fe102fb09,,6.0,,none,,
{{PPBF_ORG_ID}},wti_f2a72eddb00630,wtp_f4f4d54c39a219,2,warmup,drl_61ef34ab64a92c,,4.0,,none,,
{{PPBF_ORG_ID}},wti_7e24da14d7847d,wtp_f4f4d54c39a219,3,technical,drl_b761c27849920e,,6.0,,none,,
{{PPBF_ORG_ID}},wti_e0587aca344b63,wtp_f4f4d54c39a219,4,technical,drl_7908566cc70d14,,6.0,,none,,
{{PPBF_ORG_ID}},wti_ad09b47656c36c,wtp_f4f4d54c39a219,5,technical,drl_af8541eacc70e5,,12.0,,light_technical,,
{{PPBF_ORG_ID}},wti_abe6b524f14197,wtp_f4f4d54c39a219,6,cooldown,drl_786d761c9321c0,,6.0,,none,,
{{PPBF_ORG_ID}},wti_4278d888911e75,wtp_cfb86f25abfa16,1,warmup,drl_dbb0347500e7eb,,8.0,,none,,
{{PPBF_ORG_ID}},wti_e2b559771185ea,wtp_cfb86f25abfa16,2,conditioning,drl_40acc6820f5df6,,6.0,,none,,
{{PPBF_ORG_ID}},wti_4d4ddb0dc8da8a,wtp_cfb86f25abfa16,3,technical,drl_146f4afdc88839,,10.0,,none,,
{{PPBF_ORG_ID}},wti_9069bedaf93ee0,wtp_cfb86f25abfa16,4,conditioning,drl_681a54fa579bb1,,14.0,,none,,
{{PPBF_ORG_ID}},wti_ae2be35208d10e,wtp_cfb86f25abfa16,5,cooldown,drl_325b6ba2613eb0,,7.0,,none,,
{{PPBF_ORG_ID}},wti_edb64ee2c69395,wtp_7d4394c5d4fe32,1,warmup,drl_dbb0347500e7eb,,8.0,,none,,
{{PPBF_ORG_ID}},wti_189636960f8560,wtp_7d4394c5d4fe32,2,strength,drl_7b05e2c6d49010,,8.0,,none,,
{{PPBF_ORG_ID}},wti_6c834ff2a46749,wtp_7d4394c5d4fe32,3,strength,drl_f84ea554b6aae6,,8.0,,none,,
{{PPBF_ORG_ID}},wti_91b78a7c37d670,wtp_7d4394c5d4fe32,4,strength,drl_8549299fc8d8c7,,8.0,,none,,
{{PPBF_ORG_ID}},wti_d4e23e4abad914,wtp_7d4394c5d4fe32,5,strength,drl_f472a511f53d54,,6.0,,none,,
{{PPBF_ORG_ID}},wti_0d0d8b5513831e,wtp_7d4394c5d4fe32,6,power,drl_129b59c4f4dd76,,6.0,,none,,
{{PPBF_ORG_ID}},wti_a769a4f44ce7f7,wtp_7d4394c5d4fe32,7,cooldown,drl_786d761c9321c0,,6.0,,none,,
{{PPBF_ORG_ID}},wti_058a3d007fc8b7,wtp_d15fb20ba517cf,1,warmup,drl_dbb0347500e7eb,,10.0,,none,,
{{PPBF_ORG_ID}},wti_43b20af4e134ac,wtp_d15fb20ba517cf,2,technical,drl_81c1dc6ae59852,,6.0,,none,,
{{PPBF_ORG_ID}},wti_fbf683d2c52c27,wtp_d15fb20ba517cf,3,technical,drl_006134ad264754,,10.0,,light_technical,,
{{PPBF_ORG_ID}},wti_5b90624645d41d,wtp_d15fb20ba517cf,4,technical,drl_c8fa1590a8649a,,8.0,,light_technical,,
{{PPBF_ORG_ID}},wti_6626b1b0986002,wtp_d15fb20ba517cf,5,tactical,drl_b2fcf989112703,,,,conditioned,Coach sets contact volume in person. This system prescribes none.,
{{PPBF_ORG_ID}},wti_49d67cfd328bf4,wtp_d15fb20ba517cf,6,film,drl_1f5bf3a2ca967b,,10.0,,none,,
{{PPBF_ORG_ID}},wti_2a87550c08a126,wtp_d15fb20ba517cf,7,cooldown,drl_786d761c9321c0,,6.0,,none,,
{{PPBF_ORG_ID}},wti_6fbda8dbb310f9,wtp_ff74bd014f77b2,1,warmup,drl_dbb0347500e7eb,,8.0,,none,,
{{PPBF_ORG_ID}},wti_a7460d2c6be1f2,wtp_ff74bd014f77b2,2,technical,drl_c256be2f4f5fab,,6.0,,none,,
{{PPBF_ORG_ID}},wti_9785b5a9e42a9e,wtp_ff74bd014f77b2,3,technical,drl_4347e2c1a20806,,7.0,,none,,
{{PPBF_ORG_ID}},wti_abcfaa03d6bf94,wtp_ff74bd014f77b2,4,technical,drl_160ff16df2a668,,8.0,,light_technical,,
{{PPBF_ORG_ID}},wti_0eb9ea1b514794,wtp_ff74bd014f77b2,5,conditioning,drl_b67ee94d958d32,,6.0,,none,,
{{PPBF_ORG_ID}},wti_04f25e79f58980,wtp_ff74bd014f77b2,6,cooldown,drl_325b6ba2613eb0,,5.0,,none,,
