"ModuleId","Name","CategoryKey","CategoryLabel","Status","Active","PromotionRequired","SourceVersion","Parent25Hint","ManualVerification"
"31","Mobility / Range-of-Motion Engine","physicalTrainingSystem","Physical Training System","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"32","Asymmetry / Imbalance Monitor","physicalTrainingSystem","Physical Training System","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"33","Fatigue Decay Monitor","physicalTrainingSystem","Physical Training System","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"34","Return-to-Training Engine","physicalTrainingSystem","Physical Training System","DONE","False","True","2.0.0-draft-merged","11 Safety Gate","PENDING_SIGN_OFF"
"35","Conditioning Balance Engine","physicalTrainingSystem","Physical Training System","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"36","Periodization / Block Planning Engine","physicalTrainingSystem","Physical Training System","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"37","Combat Athlete Engine","combatBoxingSystem","Combat / Boxing System","DONE","False","True","2.0.0-draft-merged","Combat / boxing","PENDING_SIGN_OFF"
"38","Boxing Skill Tracking Engine","combatBoxingSystem","Combat / Boxing System","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"39","Punch Quality / Volume Engine","combatBoxingSystem","Combat / Boxing System","DONE","False","True","2.0.0-draft-merged","","PENDING_SIGN_OFF"
"40","Defense / Exit / Reset Engine","combatBoxingSystem","Combat / Boxing System","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"41","Footwork / Ring Movement Engine","combatBoxingSystem","Combat / Boxing System","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"42","Round Performance Engine","combatBoxingSystem","Combat / Boxing System","DONE","False","True","2.0.0-draft-merged","","PENDING_SIGN_OFF"
"43","Contact / Sparring Restriction Engine","combatBoxingSystem","Combat / Boxing System","DONE","False","True","2.0.0-draft-merged","","PENDING_SIGN_OFF"
"44","Non-Contact Youth Program Engine","combatBoxingSystem","Combat / Boxing System","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"45","Coach-Controlled Constraint Engine","combatBoxingSystem","Combat / Boxing System","DONE","False","True","2.0.0-draft-merged","","PENDING_SIGN_OFF"
"46","Performance Transfer Validation Engine","transferSystem","Transfer System","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"47","Multi-Sport Transfer Engine","transferSystem","Transfer System","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"48","Tactical Athlete Transfer Engine","transferSystem","Transfer System","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"49","Wrestling Transfer Module","transferSystem","Transfer System","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"50","Military Readiness Transfer Module","transferSystem","Transfer System","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"51","Life-Skill Transfer Module","transferSystem","Transfer System","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"52","Transfer Evidence Engine","transferSystem","Transfer System","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"53","False Progress Detection Engine","transferSystem","Transfer System","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"54","Skill Acquisition Engine","learningSkillAcquisition","Learning / Skill Acquisition","DONE","False","True","2.0.0-draft-merged","6 Assignment / Skill","PENDING_SIGN_OFF"
"55","Retention Tracking Engine","learningSkillAcquisition","Learning / Skill Acquisition","DONE","False","True","2.0.0-draft-merged","6 Skill","PENDING_SIGN_OFF"
"56","Mastery Verification Engine","learningSkillAcquisition","Learning / Skill Acquisition","DONE","False","True","2.0.0-draft-merged","6 Skill","PENDING_SIGN_OFF"
"57","Decision-Making Engine","learningSkillAcquisition","Learning / Skill Acquisition","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"58","Cue Recognition Engine","learningSkillAcquisition","Learning / Skill Acquisition","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"59","Attention Control Engine","learningSkillAcquisition","Learning / Skill Acquisition","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"60","Constraint Library Engine","learningSkillAcquisition","Learning / Skill Acquisition","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"61","Practice Design Engine","learningSkillAcquisition","Learning / Skill Acquisition","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"62","Skill Regression Engine","learningSkillAcquisition","Learning / Skill Acquisition","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"63","Skill Review / Spaced Repetition Engine","learningSkillAcquisition","Learning / Skill Acquisition","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"64","Emotional Regulation Engine","mentalEmotionalBehavioral","Mental / Emotional / Behavioral","DONE","False","True","2.0.0-draft-merged","Mental / coach review","PENDING_SIGN_OFF"
"65","Resilience Engine","mentalEmotionalBehavioral","Mental / Emotional / Behavioral","DONE","False","True","2.0.0-draft-merged","Mental","PENDING_SIGN_OFF"
"66","Confidence Stability Engine","mentalEmotionalBehavioral","Mental / Emotional / Behavioral","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"67","Frustration Response Monitor","mentalEmotionalBehavioral","Mental / Emotional / Behavioral","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"68","Reset Ability Engine","mentalEmotionalBehavioral","Mental / Emotional / Behavioral","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"69","Behavior Pattern Engine","mentalEmotionalBehavioral","Mental / Emotional / Behavioral","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"70","Discipline / Accountability Engine","mentalEmotionalBehavioral","Mental / Emotional / Behavioral","DONE","False","True","2.0.0-draft-merged","Mental / accountability","PENDING_SIGN_OFF"
"71","Motivation / Engagement Engine","mentalEmotionalBehavioral","Mental / Emotional / Behavioral","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"72","Character Development Engine","mentalEmotionalBehavioral","Mental / Emotional / Behavioral","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"73","Leadership Development Engine","mentalEmotionalBehavioral","Mental / Emotional / Behavioral","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"74","Habit Formation Engine","mentalEmotionalBehavioral","Mental / Emotional / Behavioral","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"75","Safety Review Engine","safetyRecoveryHealth","Safety / Recovery / Health","DONE","False","True","2.0.0-draft-merged","11 Safety Gate","PASSED"
"76","Pain / Symptom Flag Engine","safetyRecoveryHealth","Safety / Recovery / Health","DONE","False","True","2.0.0-draft-merged","11 Safety Gate","PASSED"
"77","Recovery Status Engine","safetyRecoveryHealth","Safety / Recovery / Health","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"78","Medical Uncertainty Routing Engine","safetyRecoveryHealth","Safety / Recovery / Health","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"79","Water Safety Gate","safetyRecoveryHealth","Safety / Recovery / Health","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"80","Breath-Hold Restriction Engine","safetyRecoveryHealth","Safety / Recovery / Health","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"81","Fatigue Breakdown Engine","safetyRecoveryHealth","Safety / Recovery / Health","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"82","Stop / Hold / Regress Engine","safetyRecoveryHealth","Safety / Recovery / Health","DONE","False","True","2.0.0-draft-merged","11 Safety Gate","PENDING_SIGN_OFF"
"83","Unsafe Behavior Flag Engine","safetyRecoveryHealth","Safety / Recovery / Health","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"84","Guardian Safety Report Engine","safetyRecoveryHealth","Safety / Recovery / Health","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"85","At-Home Parent / Guardian Task System","atHomeParentGuardian","At-Home / Parent / Guardian","DONE","False","True","2.0.0-draft-merged","15 Guardian Portal","PENDING_SIGN_OFF"
"86","At-Home Movement Homework Engine","atHomeParentGuardian","At-Home / Parent / Guardian","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"87","Guardian Observation Engine","atHomeParentGuardian","At-Home / Parent / Guardian","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"88","Home Compliance / Habit Engine","atHomeParentGuardian","At-Home / Parent / Guardian","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"89","Home Safety Boundary Engine","atHomeParentGuardian","At-Home / Parent / Guardian","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"90","Family Communication Engine","atHomeParentGuardian","At-Home / Parent / Guardian","DONE","False","True","2.0.0-draft-merged","","PENDING_SIGN_OFF"
"91","Recovery Homework Engine","atHomeParentGuardian","At-Home / Parent / Guardian","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"92","Life-Skill Homework Engine","atHomeParentGuardian","At-Home / Parent / Guardian","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"93","Parent / Guardian Dashboard","atHomeParentGuardian","At-Home / Parent / Guardian","DONE","False","True","2.0.0-draft-merged","15 Guardian Portal","PENDING_SIGN_OFF"
"94","Parent Confirmation System","atHomeParentGuardian","At-Home / Parent / Guardian","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"95","Home Barrier Reporting System","atHomeParentGuardian","At-Home / Parent / Guardian","DONE","False","True","2.0.0-draft-merged","","PENDING_SIGN_OFF"
"96","Transportation / Attendance Barrier Tracker","atHomeParentGuardian","At-Home / Parent / Guardian","DONE","False","True","2.0.0-draft-merged","","PENDING_SIGN_OFF"
"97","Swim Screening Module","swimWaterConfidence","Swim / Water Confidence","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"98","Water Confidence Tracker","swimWaterConfidence","Swim / Water Confidence","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"99","Pool Safety Gate","swimWaterConfidence","Swim / Water Confidence","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"100","Underwater Restriction Engine","swimWaterConfidence","Swim / Water Confidence","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"101","Continuous Swim Progression Tracker","swimWaterConfidence","Swim / Water Confidence","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"102","Water Panic / Unsafe Breath-Hold Flag","swimWaterConfidence","Swim / Water Confidence","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"103","Lifeguard / Safety Support Requirement Tracker","swimWaterConfidence","Swim / Water Confidence","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"104","Bodyweight Tracking","bodyComposition","Body Composition","DONE","False","True","2.0.0-draft-merged","","PENDING_SIGN_OFF"
"105","Waist Tracking","bodyComposition","Body Composition","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"106","Measurement Context Engine","bodyComposition","Body Composition","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"107","Body-Composition Trend Monitor","bodyComposition","Body Composition","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"108","Body-Composition Safety Router","bodyComposition","Body Composition","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"109","Growth / Maturation Context Layer","bodyComposition","Body Composition","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"110","Coaching Doctrine Engine","coachSystem","Coach System","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"111","Coach Intelligence Engine","coachSystem","Coach System","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"112","Coach Training Module","coachSystem","Coach System","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"113","Coach Dashboard","coachSystem","Coach System","DONE","False","True","2.0.0-draft-merged","","PENDING_SIGN_OFF"
"114","Coach Cue Library","coachSystem","Coach System","DONE","False","True","2.0.0-draft-merged","","PENDING_SIGN_OFF"
"115","Coach Intervention Library","coachSystem","Coach System","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"116","Coach Compliance / Integrity Engine","coachSystem","Coach System","DONE","False","True","2.0.0-draft-merged","","PENDING_SIGN_OFF"
"117","Coach Scenario Training","coachSystem","Coach System","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"118","Coach Review Queue","coachSystem","Coach System","DONE","False","True","2.0.0-draft-merged","10 Coach Review","PENDING_SIGN_OFF"
"119","Coach Decision Audit","coachSystem","Coach System","DONE","False","True","2.0.0-draft-merged","10 Coach Review","PENDING_SIGN_OFF"
"120","Class Control Engine","classProgramManagement","Class / Program Management","DONE","False","True","2.0.0-draft-merged","Class / Program","PENDING_SIGN_OFF"
"121","Group Assignment Engine","classProgramManagement","Class / Program Management","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"122","Attendance Engine","classProgramManagement","Class / Program Management","DONE","False","True","2.0.0-draft-merged","Class / Program","PENDING_SIGN_OFF"
"123","Station Rotation Engine","classProgramManagement","Class / Program Management","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"124","Capacity Management Engine","classProgramManagement","Class / Program Management","DONE","False","True","2.0.0-draft-merged","","PENDING_SIGN_OFF"
"125","Behavior Standard Engine","classProgramManagement","Class / Program Management","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"126","Recognition / Achievement Engine","classProgramManagement","Class / Program Management","DONE","False","True","2.0.0-draft-merged","","PENDING_SIGN_OFF"
"127","1% Club / Leadership Pathway Tracker","classProgramManagement","Class / Program Management","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"128","Community Service Tracker","classProgramManagement","Class / Program Management","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"129","Program Phase Engine","classProgramManagement","Class / Program Management","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"130","Evidence Quality Engine","dataQualityTrust","Data Quality / Trust","DONE","False","True","2.0.0-draft-merged","Data Quality","PENDING_SIGN_OFF"
"131","Confidence Score Engine","dataQualityTrust","Data Quality / Trust","DONE","False","True","2.0.0-draft-merged","","PENDING_SIGN_OFF"
"132","Missing Data Engine","dataQualityTrust","Data Quality / Trust","DONE","False","True","2.0.0-draft-merged","Data Quality","PENDING_SIGN_OFF"
"133","Source Reliability Engine","dataQualityTrust","Data Quality / Trust","DONE","False","True","2.0.0-draft-merged","","PENDING_SIGN_OFF"
"134","Duplicate Detection Engine","dataQualityTrust","Data Quality / Trust","DONE","False","True","2.0.0-draft-merged","","PENDING_SIGN_OFF"
"135","Uncertainty Tagging Engine","dataQualityTrust","Data Quality / Trust","DONE","False","True","2.0.0-draft-merged","","PENDING_SIGN_OFF"
"136","Version / Source Status Engine","dataQualityTrust","Data Quality / Trust","DONE","False","True","2.0.0-draft-merged","","PENDING_SIGN_OFF"
"137","Audit Trail / Decision History","dataQualityTrust","Data Quality / Trust","DONE","False","True","2.0.0-draft-merged","Data Quality / Audit","PENDING_SIGN_OFF"
"138","Review Due Engine","dataQualityTrust","Data Quality / Trust","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"139","Approval Gate Engine","dataQualityTrust","Data Quality / Trust","DONE","False","True","2.0.0-draft-merged","","PENDING_SIGN_OFF"
"140","App Governance Layer","governanceAdminNonprofit","Governance / Admin / Nonprofit","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"141","Human Approval System","governanceAdminNonprofit","Governance / Admin / Nonprofit","DONE","False","True","2.0.0-draft-merged","","PENDING_SIGN_OFF"
"142","Role Permission System","governanceAdminNonprofit","Governance / Admin / Nonprofit","DONE","False","True","2.0.0-draft-merged","","PENDING_SIGN_OFF"
"143","Source-Control Dashboard","governanceAdminNonprofit","Governance / Admin / Nonprofit","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"144","Change Log System","governanceAdminNonprofit","Governance / Admin / Nonprofit","DONE","False","True","2.0.0-draft-merged","","PENDING_SIGN_OFF"
"145","File Status / Promotion System","governanceAdminNonprofit","Governance / Admin / Nonprofit","DONE","False","True","2.0.0-draft-merged","","PENDING_SIGN_OFF"
"146","Grant / Nonprofit Impact Engine","governanceAdminNonprofit","Governance / Admin / Nonprofit","DONE","False","True","2.0.0-draft-merged","17 Grant/Impact","PENDING_SIGN_OFF"
"147","Board Reporting Engine","governanceAdminNonprofit","Governance / Admin / Nonprofit","DONE","False","True","2.0.0-draft-merged","3 Board governance","PENDING_SIGN_OFF"
"148","Program Outcome Reporting","governanceAdminNonprofit","Governance / Admin / Nonprofit","DONE","False","True","2.0.0-draft-merged","17 Grant/Impact","PENDING_SIGN_OFF"
"149","Donor-Safe Reporting Engine","governanceAdminNonprofit","Governance / Admin / Nonprofit","DONE","False","True","2.0.0-draft-merged","17 Grant/Impact","PENDING_SIGN_OFF"
"150","Privacy / Sensitive Data Boundary Engine","governanceAdminNonprofit","Governance / Admin / Nonprofit","DONE","False","True","2.0.0-draft-merged","Privacy / 200","PENDING_SIGN_OFF"
"151","Consent / Waiver Tracker","governanceAdminNonprofit","Governance / Admin / Nonprofit","DONE","False","True","2.0.0-draft-merged","Compliance","PENDING_SIGN_OFF"
"152","Incident Report Engine","governanceAdminNonprofit","Governance / Admin / Nonprofit","DONE","False","True","2.0.0-draft-merged","11 Safety / 194","PENDING_SIGN_OFF"
"153","Compliance Checklist Engine","governanceAdminNonprofit","Governance / Admin / Nonprofit","DONE","False","True","2.0.0-draft-merged","Compliance","PENDING_SIGN_OFF"
"154","AI Assistant Layer","aiAutomationSupport","AI / Automation Support","DONE","False","True","2.0.0-draft-merged","13 AI","PENDING_SIGN_OFF"
"155","Routing Recommendation Engine","aiAutomationSupport","AI / Automation Support","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"156","Session Drafting Assistant","aiAutomationSupport","AI / Automation Support","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"157","Safety Flag Assistant","aiAutomationSupport","AI / Automation Support","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"158","Progression Review Assistant","aiAutomationSupport","AI / Automation Support","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"159","Source-Audit Assistant","aiAutomationSupport","AI / Automation Support","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"160","Duplicate-Risk Assistant","aiAutomationSupport","AI / Automation Support","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"161","Report Drafting Assistant","aiAutomationSupport","AI / Automation Support","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"162","Coach Prep Assistant","aiAutomationSupport","AI / Automation Support","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"163","Parent Message Drafting Assistant","aiAutomationSupport","AI / Automation Support","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"164","No-Autonomous-Approval Guardrail","aiAutomationSupport","AI / Automation Support","DONE","False","True","2.0.0-draft-merged","13 AI refusals","PENDING_SIGN_OFF"
"165","Athlete Dashboard","dashboardsReporting","Dashboards / Reporting","DONE","False","True","2.0.0-draft-merged","14 Athlete portal","PENDING_SIGN_OFF"
"166","Coach Dashboard","dashboardsReporting","Dashboards / Reporting","DONE","False","True","2.0.0-draft-merged","10 Coach","PENDING_SIGN_OFF"
"167","Parent / Guardian Dashboard","dashboardsReporting","Dashboards / Reporting","DONE","False","True","2.0.0-draft-merged","15 Guardian","PENDING_SIGN_OFF"
"168","Admin Dashboard","dashboardsReporting","Dashboards / Reporting","DONE","False","True","2.0.0-draft-merged","Admin","PENDING_SIGN_OFF"
"169","Readiness Dashboard","dashboardsReporting","Dashboards / Reporting","DONE","False","True","2.0.0-draft-merged","","PENDING_SIGN_OFF"
"170","Safety Dashboard","dashboardsReporting","Dashboards / Reporting","DONE","False","True","2.0.0-draft-merged","","PENDING_SIGN_OFF"
"171","Progression Dashboard","dashboardsReporting","Dashboards / Reporting","DONE","False","True","2.0.0-draft-merged","","PENDING_SIGN_OFF"
"172","Performance Trend Dashboard","dashboardsReporting","Dashboards / Reporting","DONE","False","True","2.0.0-draft-merged","","PENDING_SIGN_OFF"
"173","Attendance Dashboard","dashboardsReporting","Dashboards / Reporting","DONE","False","True","2.0.0-draft-merged","","PENDING_SIGN_OFF"
"174","Grant / Impact Dashboard","dashboardsReporting","Dashboards / Reporting","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"175","Source-Control Dashboard","dashboardsReporting","Dashboards / Reporting","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"176","Physical Digital Twin","advancedFuture","Advanced / Future","DEFERRED","False","True","2.0.0-draft-merged","Advanced","NOT_REQUIRED"
"177","Athlete Operating System","advancedFuture","Advanced / Future","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"178","Development Forecasting Engine","advancedFuture","Advanced / Future","DEFERRED","False","True","2.0.0-draft-merged","Advanced","NOT_REQUIRED"
"179","Plateau Detection Engine","advancedFuture","Advanced / Future","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"180","Best Next Action Engine","advancedFuture","Advanced / Future","DEFERRED","False","True","2.0.0-draft-merged","Advanced","NOT_REQUIRED"
"181","Risk Forecasting Engine","advancedFuture","Advanced / Future","DEFERRED","False","True","2.0.0-draft-merged","Advanced","NOT_REQUIRED"
"182","Long-Term Athlete Development Engine","advancedFuture","Advanced / Future","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"183","Multi-Athlete Pattern Engine","advancedFuture","Advanced / Future","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"184","Program Effectiveness Engine","advancedFuture","Advanced / Future","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"185","Environment Engine","advancedFuture","Advanced / Future","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"186","Competitive Readiness Engine","advancedFuture","Advanced / Future","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"187","Tactical Readiness Engine","advancedFuture","Advanced / Future","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"188","Selection Prep Engine","advancedFuture","Advanced / Future","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"189","Scenario Simulation Engine","advancedFuture","Advanced / Future","DEFERRED","False","True","2.0.0-draft-merged","Advanced","NOT_REQUIRED"
"190","Adaptive Logic Engine","advancedFuture","Advanced / Future","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"191","System-Driven Next Session Engine","advancedFuture","Advanced / Future","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"192","Closed-Loop Execution Engine","advancedFuture","Advanced / Future","DEFERRED","False","True","2.0.0-draft-merged","Advanced","NOT_REQUIRED"
"193","Parent-Safe Exercise Library","strongestAdditionsNow","Strongest Additions Now","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"194","Red Flag Escalation Protocol","strongestAdditionsNow","Strongest Additions Now","DONE","False","True","2.0.0-draft-merged","11 Safety Gate","PENDING_SIGN_OFF"
